Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.972595765598118,0.054777845404747415,0.9183673469387755,0.10338885697874785,0.9735408794919206,0.7315787895461129
Random Forest,0.9978231101436045,0.4322916666666667,0.8469387755102041,0.5724137931034483,0.982626287712609,0.7960816526917829
XGBoost,0.9975948878199501,0.40669856459330145,0.8673469387755102,0.5537459283387622,0.9836209631573508,0.8470622835742608
